Timekeeper ID,Timekeeper Name,Timekeeper Role,Timekeeper Status,Timekeeper Office,Timekeeper Department,Timekeeper Practice Group,Standard Rate,Work Rate,Matter ID,Matter Name,Matter Type,Matter Status,Matter Office,Matter Department,Matter Practice Group,Billing Attorney,Supervising Attorney,Responsible Attorney,Originating Attorney,Budget,Target,Client ID,Client Name,Client Address,Client Status,Client Type,Invoice ID,Invoice Date,Billed Hours,Billed Amount,Collected Hours,Collected Amount,Write Off Amount,Discount Amount,Realization Rate,Utilization Rate,Worked Hours,Worked Amount,Effective Rate,Flat Fee Amount,Trust Balance,WIP Amount,AR Amount,Soft Costs,Hard Costs,Phase Code,Task Code,Activity Code,Time Entry Date,Time Entry Hours,Time Entry Description,Profitability Status,Risk Level,Underbilling Flag,Overutilization Flag,Discount Flag
TK7444,Brittany Rogers,Paralegal,Active,Toronto,Tax,Family Law,1305,1231,MT3051,Hunter v. Stevens,M&A,Closed,Sydney,Tax,Family Law,John Reynolds,Rachel West,Kevin Glover,Patricia Valentine,312994,416,CL2227,Jason Baker,"USNS Murphy
FPO AP 08294",Active,Individual,INV-35049,6/15/2024,160,196960,153,188343,55,881,95.62,38.46,169,208039,1231,49827,9955,8455,7666,2172,2813,Appeal,Deposition,Court Appearance,5/11/2024,8,Court Appearance for Hunter v. Stevens,Unprofitable,High,Yes,Yes,No
TK3145,Jorge Hughes,Of Counsel,Active,London,Corporate,Commercial Litigation,878,869,MT3922,Powell v. Walters,Criminal Case,Active,Toronto,Litigation,Family Law,Summer Walsh,Denise Pena,John Morse,Kyle Rogers,277197,204,CL2031,Alicia Johnson,"8123 Matthew Pike Suite 145
West Jessicatown, MN 86134",Active,Nonprofit,INV-33365,2/19/2024,69,59961,53,46057,1033,646,76.81,33.82,89,77341,869,0,7782,9495,6972,1949,1660,Settlement,Deposition,Document Review,1/2/2025,4,Document Review for Powell v. Walters,Unprofitable,High,No,Yes,No
TK1667,Benjamin Bailey,Partner,Terminated,Sydney,Litigation,Criminal Defense,797,789,MT4801,Hoover v. Fitzpatrick,Criminal Case,Active,Toronto,Employment,M&A,Terry Lee,Zachary Pugh,Virginia Franco,Peter Bullock,292236,496,CL1725,"Drake, Bates and Bowers","613 Hammond Shores
Lake Kendrafurt, AL 62490",Inactive,Individual,INV-17877,7/10/2024,101,79689,97,76533,1203,308,96.04,20.36,115,90735,789,32377,8565,1344,1702,3659,3783,Document Review,Drafting,Draft Motion,8/31/2024,9,Draft Motion for Hoover v. Fitzpatrick,Profitable,Medium,Yes,No,Yes
TK5871,Laura Hoffman,Partner,Active,London,Corporate,Criminal Defense,1427,1295,MT5605,Mckinney v. Lambert,Litigation,Closed,New York,Corporate,M&A,Kristin Beasley,David Best,Victoria Welch,Elizabeth Williams,434516,408,CL6272,Aaron Johnson,"0849 Ware Station Suite 911
Charleston, CA 59728",Active,Nonprofit,INV-61942,11/30/2023,140,181300,134,173530,782,704,95.71,34.31,146,189070,1295,0,1789,7197,8126,4376,7869,Settlement,Deposition,Client Meeting,5/10/2024,2,Client Meeting for Mckinney v. Lambert,Profitable,High,No,No,No
TK4490,Amanda Smith,Law Clerk,Terminated,New York,Tax,Family Law,557,447,MT4874,Hicks v. Brown,Patent Filing,Active,London,Real Estate,M&A,Kathy Abbott,David Estes,Jason Gilmore,Amber Williams,366131,456,CL3723,Grace King,"085 Huang Inlet
Lake Alexanderfort, NM 34797",Active,Government,INV-33102,5/30/2024,127,56769,124,55428,699,189,97.64,27.85,135,60345,447,42713,5744,6593,1400,2511,5779,Appeal,Deposition,Court Appearance,4/11/2024,7,Court Appearance for Hicks v. Brown,Unprofitable,Medium,Yes,Yes,No
TK3584,Ashley Turner,Of Counsel,Terminated,Sydney,Employment,M&A,1465,1295,MT9771,Carlson v. Carrillo,Litigation,Closed,Sydney,Litigation,Intellectual Property,Willie Parker,Virginia Jenkins,Megan Robertson,Christopher Ayala,499682,431,CL4637,Esparza-Coleman,"0391 Brett Motorway
Lake Maria, AR 64636",Inactive,Nonprofit,INV-21871,4/6/2024,22,28490,8,10360,541,77,36.36,5.1,27,34965,1295,0,1678,17746,3394,3874,6319,Discovery,Deposition,Document Review,11/14/2024,6,Document Review for Carlson v. Carrillo,Unprofitable,Low,No,Yes,No
TK7336,Amber Doyle,Law Clerk,Terminated,Toronto,Real Estate,M&A,1434,1314,MT7508,White v. Arnold,Litigation,Closed,Sydney,Real Estate,Family Law,Charles Long,Joseph Mcdonald,Andrew Stevens,Linda Robertson,478753,241,CL0834,Devin Hill,"Unit 2406 Box 4819
DPO AE 58265",Inactive,Individual,INV-51104,6/21/2024,182,239148,181,237834,427,409,99.45,75.52,189,248346,1314,0,4011,13941,7709,71,7069,Trial,Drafting,Client Meeting,4/26/2024,8,Client Meeting for White v. Arnold,Unprofitable,Low,Yes,No,No
TK7090,Alicia Griffin,Law Clerk,Terminated,New York,Employment,Commercial Litigation,799,694,MT9855,Payne v. Weber,Divorce,Closed,California,Tax,M&A,James Mendoza,Kyle Jones,Katelyn Quinn,Brittany Sanchez,136182,411,CL1572,Garcia-Steele,"3977 Jackson Mills
Paulview, NM 20317",Active,Corporation,INV-30673,11/3/2024,148,102712,131,90914,497,679,88.51,36.01,158,109652,694,0,7239,18236,5560,296,7034,Settlement,Research,Document Review,6/5/2024,10,Document Review for Payne v. Weber,Unprofitable,Medium,No,No,No
TK6279,Ann Winters,Paralegal,Active,California,Employment,Criminal Defense,375,351,MT9959,Pratt v. Kelly,Divorce,Closed,Sydney,Litigation,Family Law,Rebecca Fowler,Jonathan Alexander,Douglas Watts,Russell Murphy,117997,370,CL8242,Phelps Group,"774 Smith Corner Suite 916
Janeland, NV 88610",Inactive,Corporation,INV-74890,12/24/2024,137,48087,122,42822,1796,62,89.05,37.03,152,53352,351,18720,1701,4439,5315,3777,2723,Discovery,Drafting,Court Appearance,7/20/2024,4,Court Appearance for Pratt v. Kelly,Unprofitable,Low,No,No,No
TK8820,Tiffany Stuart,Law Clerk,Terminated,New York,Tax,M&A,1038,992,MT1933,Smith v. Thomas,Patent Filing,Closed,Sydney,Tax,Criminal Defense,Timothy Cervantes,Martin Brown,Michelle Baker,Kristine Spencer,115790,390,CL2424,"Zimmerman, Jones and Cardenas","130 Steven Viaduct Suite 516
New Debraberg, MI 83259",Active,Nonprofit,INV-33730,1/22/2025,107,106144,97,96224,1941,836,90.65,27.44,116,115072,992,46466,4940,3613,8268,2325,7252,Settlement,Negotiation,Draft Motion,2/23/2025,5,Draft Motion for Smith v. Thomas,Profitable,Medium,No,No,No
TK5466,Erin Johnson,Law Clerk,Terminated,Sydney,Litigation,M&A,185,152,MT4784,Evans v. Pace,Divorce,Active,London,Employment,Commercial Litigation,Shane Turner,Eric Cisneros,Danny Morrison,Jamie Hamilton MD,468851,467,CL7382,Hawkins-Daniels,"42374 Mary Lakes Suite 969
Darleneberg, GU 52745",Active,Government,INV-11973,1/18/2025,110,16720,98,14896,1677,254,89.09,23.55,127,19304,152,0,7374,14984,386,3901,3552,Document Review,Filing,Court Appearance,8/15/2024,7,Court Appearance for Evans v. Pace,Unprofitable,High,No,No,Yes
TK2908,Casey Davis,Associate,Active,New York,Tax,Intellectual Property,1329,1139,MT6826,Lewis v. Weaver,M&A,Closed,London,Real Estate,Commercial Litigation,Mario Murray,Denise Williams,Juan Henderson,Gary Roman,343493,356,CL1619,Savannah George,"48662 Lisa Coves Suite 244
Lake Robertview, IN 58584",Active,Individual,INV-28359,9/16/2023,49,55811,46,52394,1834,710,93.88,13.76,61,69479,1139,26201,7096,2284,3535,3641,1731,Settlement,Filing,Court Appearance,4/11/2024,2,Court Appearance for Lewis v. Weaver,Unprofitable,Medium,No,Yes,Yes
TK3563,Robin Pham,Law Clerk,Active,London,Litigation,M&A,350,203,MT3694,Dennis v. Allen,Divorce,Active,London,Litigation,Criminal Defense,Dr. Adrienne Meyer,Audrey Johnson,Terry Poole,Ashley Swanson,63313,310,CL1552,Carlos Cook,"USNV Chen
FPO AA 57854",Active,Government,INV-62262,2/28/2025,161,32683,145,29435,1399,339,90.06,51.94,170,34510,203,26089,8603,19090,9266,348,4941,Discovery,Filing,Client Meeting,4/6/2024,2,Client Meeting for Dennis v. Allen,Unprofitable,Medium,No,Yes,Yes
TK3410,Roger Davis,Of Counsel,Terminated,California,Employment,Commercial Litigation,1026,994,MT5006,Brown v. Herrera,Patent Filing,Active,Toronto,Employment,Commercial Litigation,Frank Montgomery,Natalie Lopez,Paige Carrillo,Adam Johnson,468975,441,CL6560,"Shaw, Lewis and Blair","Unit 0772 Box 4327
DPO AE 64831",Inactive,Nonprofit,INV-17904,11/19/2024,170,168980,160,159040,1995,961,94.12,38.55,184,182896,994,0,8342,3363,3999,1973,4644,Document Review,Drafting,Document Review,6/18/2024,4,Document Review for Brown v. Herrera,Profitable,High,No,Yes,No
TK1054,Joshua Love,Partner,Terminated,Sydney,Corporate,Criminal Defense,555,499,MT9657,Houston v. Ferguson,Divorce,Closed,London,Employment,Intellectual Property,Walter Stewart,Lauren Williams,Sarah Reynolds,Amanda Knapp,243330,411,CL9165,Alexandra Gibson,"PSC 6020, Box 6688
APO AA 66781",Inactive,Government,INV-22577,7/3/2024,77,38423,60,29940,702,508,77.92,18.73,86,42914,499,38520,8648,10979,3533,4005,2174,Appeal,Negotiation,Document Review,4/22/2024,7,Document Review for Houston v. Ferguson,Profitable,Low,No,No,Yes
TK3613,Natalie Butler,Of Counsel,Active,California,Litigation,Family Law,493,383,MT0058,Flynn v. Parker,M&A,Closed,California,Litigation,Intellectual Property,Jason Sanchez,Ann Perez,Amanda Rich,Melanie Meyer,353177,431,CL5535,"Levine, Rose and Macdonald","Unit 5453 Box 2189
DPO AE 70728",Active,Government,INV-67031,12/29/2023,38,14554,31,11873,1579,474,81.58,8.82,46,17618,383,11173,8447,2219,1674,978,4257,Discovery,Negotiation,Research Case Law,12/24/2024,7,Research Case Law for Flynn v. Parker,Unprofitable,High,Yes,Yes,Yes
TK1669,Jay Castro,Partner,Terminated,Sydney,Litigation,Family Law,910,825,MT1182,Johnson v. Diaz,Litigation,Active,London,Litigation,Family Law,Steven Dennis,Jennifer Waters,Cheryl Gonzalez,Jennifer Palmer,379636,414,CL5182,Kevin Franco,"USS Hester
FPO AA 31539",Inactive,Individual,INV-93632,7/20/2024,26,21450,19,15675,1558,813,73.08,6.28,36,29700,825,0,4046,16383,9457,1579,69,Document Review,Deposition,Client Meeting,12/17/2024,2,Client Meeting for Johnson v. Diaz,Unprofitable,Low,No,No,No
TK8201,Joel Thomas,Law Clerk,Terminated,London,Litigation,Intellectual Property,716,661,MT9094,Johnston v. Lyons,Criminal Case,Closed,Sydney,Employment,Commercial Litigation,Alec Kelly,Kathy Oliver,Jessica Williams,Steven Myers,240605,490,CL9202,Sanders-Coleman,"328 Jacob Neck
Port Tina, NY 91785",Active,Nonprofit,INV-25198,6/15/2023,195,128895,189,124929,1422,604,96.92,39.8,197,130217,661,20878,2796,1171,2157,3554,5654,Discovery,Deposition,Client Meeting,6/29/2024,9,Client Meeting for Johnston v. Lyons,Profitable,Low,Yes,No,Yes
TK4253,Ashley Gibson,Law Clerk,Active,Toronto,Tax,M&A,1355,1255,MT4975,Kerr v. Miranda,Criminal Case,Active,Toronto,Employment,Criminal Defense,Darlene Warren,Lance Diaz,Megan Boyd,Nicole Rose,173985,353,CL3866,Barnett-Brown,"1981 Olivia Mission
Brownberg, DC 16694",Active,Government,INV-88662,12/22/2023,32,40160,28,35140,1708,502,87.5,9.07,52,65260,1255,0,6809,1457,9209,1603,596,Discovery,Filing,Client Meeting,8/18/2024,8,Client Meeting for Kerr v. Miranda,Unprofitable,Medium,Yes,No,No
TK1555,James Anderson,Of Counsel,Terminated,California,Employment,Intellectual Property,480,354,MT0433,Park v. Rose,Criminal Case,Active,California,Real Estate,Intellectual Property,Rhonda Shepard,Jason Robinson,Brenda Wyatt,James Gordon,182306,329,CL2797,Anthony Stewart,"31074 Larry Mountains Suite 466
Johnstonview, TX 12276",Active,Nonprofit,INV-44361,6/12/2023,33,11682,20,7080,1543,570,60.61,10.03,47,16638,354,0,8575,8181,1533,2229,6941,Discovery,Filing,Document Review,5/9/2024,1,Document Review for Park v. Rose,Profitable,High,No,No,No
TK6263,Johnathan Petty,Of Counsel,Active,Sydney,Employment,M&A,1072,918,MT0193,Dean v. Wilson,Criminal Case,Closed,New York,Real Estate,Commercial Litigation,Catherine Miller,Matthew Baker,Lori Charles,Jennifer Moore,360830,305,CL9052,Horne and Sons,"5942 Cooley Branch Apt. 679
New Laura, AK 99371",Inactive,Individual,INV-51614,1/6/2025,167,153306,154,141372,589,51,92.22,54.75,181,166158,918,0,2079,11057,4285,3647,5433,Settlement,Deposition,Court Appearance,12/14/2024,7,Court Appearance for Dean v. Wilson,Profitable,High,Yes,No,Yes
TK7505,Karen Peters,Law Clerk,Active,California,Employment,Commercial Litigation,373,299,MT2781,Duarte v. Richards,Divorce,Closed,Sydney,Corporate,Intellectual Property,Peggy Lawson,Ryan Smith,Rachel Ross,Kevin Payne,372047,459,CL6149,Ashley-Holmes,"0950 Nicole Garden Suite 362
Port Glennberg, PR 84444",Inactive,Corporation,INV-01764,5/27/2024,183,54717,165,49335,1430,808,90.16,39.87,193,57707,299,30612,1429,8183,9141,4210,178,Trial,Deposition,Document Review,3/15/2025,10,Document Review for Duarte v. Richards,Unprofitable,Medium,Yes,Yes,Yes
TK8151,Erin Rice,Associate,Active,Toronto,Litigation,Family Law,172,67,MT0892,Huang v. Russell,Patent Filing,Active,California,Real Estate,Commercial Litigation,Lisa Fitzgerald,Jason Nicholson,Ashlee Moore,Kevin Fox,98932,329,CL7739,Scott Ochoa,"16736 Melissa Harbors Apt. 109
Lake Christopherland, WA 54772",Inactive,Individual,INV-76891,5/16/2024,155,10385,138,9246,922,490,89.03,47.11,159,10653,67,0,7640,2007,5632,2441,5371,Trial,Deposition,Research Case Law,6/22/2024,9,Research Case Law for Huang v. Russell,Profitable,Medium,Yes,Yes,No
TK8957,Tiffany Martinez,Partner,Terminated,London,Real Estate,Commercial Litigation,656,486,MT8705,Martinez v. Smith,Criminal Case,Active,New York,Tax,Criminal Defense,Wayne Lyons,Leslie Drake,Jonathan Rodriguez,Leah Wright,179775,462,CL1086,"Meadows, Wong and Mullins","1036 Nicole Parks
Elizabethmouth, IL 36986",Active,Individual,INV-50997,12/11/2023,128,62208,122,59292,571,921,95.31,27.71,129,62694,486,0,1660,6300,6244,3989,366,Discovery,Deposition,Client Meeting,8/28/2024,7,Client Meeting for Martinez v. Smith,Profitable,Medium,No,No,No
TK1362,Benjamin Parks,Paralegal,Active,New York,Litigation,Intellectual Property,1104,1000,MT9119,Collins v. Duarte,Patent Filing,Closed,London,Employment,Family Law,Angela Willis,Lisa Robinson,Jennifer Ellis,Jennifer Garcia,112542,475,CL8926,Montgomery-Jones,"88631 Orr Keys
New Mariamouth, TN 12157",Inactive,Nonprofit,INV-60467,3/13/2024,133,133000,120,120000,1239,532,90.23,28,137,137000,1000,16582,9446,15684,3661,290,5184,Appeal,Drafting,Court Appearance,5/2/2024,7,Court Appearance for Collins v. Duarte,Unprofitable,Medium,No,Yes,Yes
TK8873,Luke Marquez,Of Counsel,Terminated,Toronto,Tax,Commercial Litigation,814,754,MT4040,Mcdaniel v. Santana,Patent Filing,Active,London,Corporate,M&A,Leah Terry,Christopher Morales,Stacy Barnes,David Hunt,245537,276,CL9500,Carter-Cook,"9766 Andrew Squares
Port Sophia, MS 62627",Inactive,Corporation,INV-44313,10/17/2023,136,102544,116,87464,649,415,85.29,49.28,144,108576,754,0,7534,18588,8227,4271,6971,Appeal,Deposition,Draft Motion,7/3/2024,2,Draft Motion for Mcdaniel v. Santana,Profitable,Low,Yes,No,No
TK2503,Monica Jones,Partner,Terminated,California,Tax,M&A,818,794,MT7665,Johnson v. Burch,Litigation,Closed,London,Employment,Commercial Litigation,Hannah Potts,Brianna Perry,Sharon Moreno,Megan King,225732,117,CL2009,Jessica Flores,"77694 Lara Vista Apt. 729
Jonesmouth, DC 02444",Active,Nonprofit,INV-32005,7/10/2024,91,72254,77,61138,346,156,84.62,77.78,97,77018,794,21654,5165,5101,6780,4864,4766,Trial,Research,Draft Motion,12/15/2024,9,Draft Motion for Johnson v. Burch,Unprofitable,Medium,Yes,No,Yes
TK0955,James Smith,Paralegal,Terminated,Sydney,Litigation,Intellectual Property,878,751,MT5974,Wilson v. Hall,M&A,Closed,London,Employment,M&A,Tanner Harris,Tracy Reid,Joshua Scott,Emily Pearson,184633,247,CL7377,Jason Ho,"24046 Laura Rest
South Darrell, VT 93397",Active,Nonprofit,INV-58362,6/16/2023,136,102136,121,90871,34,6,88.97,55.06,156,117156,751,0,3096,3799,3517,4061,9652,Document Review,Drafting,Draft Motion,9/7/2024,9,Draft Motion for Wilson v. Hall,Profitable,High,No,Yes,No
TK2426,Nathaniel Stewart,Associate,Terminated,Toronto,Corporate,Intellectual Property,657,523,MT5166,Scott v. Shannon,Patent Filing,Closed,Sydney,Corporate,M&A,Benjamin Brooks,Raymond Murphy,Nicole Schaefer,Sarah Evans,307814,205,CL7308,"Anderson, Sosa and Johnson","717 Swanson Drives Apt. 421
Lake Michellemouth, AZ 55291",Inactive,Corporation,INV-59428,11/21/2024,155,81065,147,76881,418,477,94.84,75.61,166,86818,523,0,5754,2881,9924,4191,5888,Settlement,Negotiation,Draft Motion,9/12/2024,6,Draft Motion for Scott v. Shannon,Profitable,Low,Yes,No,Yes
TK4813,Bobby Hill,Paralegal,Active,New York,Litigation,Intellectual Property,1283,1282,MT4300,Brown v. Sellers,Patent Filing,Active,New York,Real Estate,Family Law,Jason Montgomery,Noah Grant,Chris Anderson,Jesus Warner,309828,420,CL9556,Scott Inc,"PSC 7132, Box 3823
APO AA 47040",Inactive,Individual,INV-32705,1/3/2025,102,130764,92,117944,1992,975,90.2,24.29,102,130764,1282,29210,4860,2796,4947,3632,6654,Discovery,Deposition,Document Review,8/31/2024,7,Document Review for Brown v. Sellers,Profitable,Medium,No,Yes,No
TK2562,Melissa Guerrero,Law Clerk,Active,Toronto,Corporate,Criminal Defense,520,361,MT5768,Brooks v. Gonzalez,Divorce,Closed,London,Real Estate,Family Law,Benjamin Richards,Theresa Bentley,Amy Odom,Kelly Cruz,363886,305,CL9941,Sean Cruz,"6314 Garza Forges Suite 374
West Matthew, IL 15955",Inactive,Corporation,INV-79459,5/12/2023,134,48374,117,42237,972,259,87.31,43.93,137,49457,361,14056,8811,2,7580,478,5139,Trial,Drafting,Client Meeting,9/18/2024,2,Client Meeting for Brooks v. Gonzalez,Unprofitable,Medium,No,Yes,Yes
TK4128,Oscar Pierce,Partner,Terminated,California,Tax,M&A,586,459,MT7246,Mahoney v. Smith,Criminal Case,Closed,Sydney,Employment,M&A,Jillian Fisher,Victoria Hebert,Aaron White,William Smith,455358,346,CL7591,Johnson LLC,"PSC 8030, Box 1836
APO AA 73374",Active,Nonprofit,INV-70267,2/14/2024,110,50490,104,47736,45,217,94.55,31.79,114,52326,459,0,4885,14103,5081,4183,6375,Document Review,Filing,Court Appearance,7/24/2024,5,Court Appearance for Mahoney v. Smith,Profitable,Low,Yes,Yes,No
TK4173,Jack Reeves,Of Counsel,Terminated,London,Corporate,M&A,1075,921,MT8463,Murphy v. Fuller,Patent Filing,Closed,Sydney,Litigation,Family Law,Joshua Shelton,Michele Cruz,Levi Sampson DDS,Barbara Carpenter,71655,341,CL9106,Williams-Cantu,"16493 Curry Terrace Suite 523
South Rebecca, NJ 85668",Active,Individual,INV-73061,7/16/2023,41,37761,34,31314,836,489,82.93,12.02,46,42366,921,0,7563,11385,4512,3228,9874,Discovery,Filing,Research Case Law,6/17/2024,8,Research Case Law for Murphy v. Fuller,Unprofitable,Medium,No,No,No
TK8760,Scott Matthews,Law Clerk,Active,California,Real Estate,Family Law,674,486,MT6087,Houston v. Choi,Litigation,Closed,Sydney,Real Estate,M&A,Jennifer Snyder,Hector Murphy,Jeffrey Gentry,Kyle Buchanan,478490,495,CL3752,Maldonado LLC,"8648 Brian Isle Suite 579
Jacksonbury, CO 47554",Inactive,Corporation,INV-41869,9/30/2023,167,81162,153,74358,419,79,91.62,33.74,176,85536,486,5474,9856,9197,5784,828,1482,Settlement,Negotiation,Document Review,5/24/2024,6,Document Review for Houston v. Choi,Profitable,Low,Yes,Yes,No
TK5330,Michael Mendez,Of Counsel,Terminated,New York,Tax,Intellectual Property,1125,1098,MT5056,Morgan v. Mathis,Divorce,Active,Sydney,Tax,Criminal Defense,Kevin Santiago,Robert Lamb,Christian Reed,Mark Henderson,189753,341,CL7464,Kayla Phillips,"25419 Tapia Mall
Sandraside, CA 68834",Active,Individual,INV-47664,6/21/2023,122,133956,102,111996,497,106,83.61,35.78,132,144936,1098,0,1353,8892,9641,2103,2093,Document Review,Deposition,Client Meeting,4/14/2024,1,Client Meeting for Morgan v. Mathis,Profitable,Low,No,No,Yes
TK6967,Peter Moore,Partner,Active,Sydney,Real Estate,Family Law,246,133,MT5780,Michael v. Brown,Litigation,Active,California,Litigation,M&A,Sandra Tucker,Jennifer Schroeder,Hannah Haynes,Alexander Rogers,333140,236,CL8166,Amy Brown,"0163 Gregory Road
Port Samantha, DE 69323",Active,Corporation,INV-35221,8/20/2023,145,19285,130,17290,1410,924,89.66,61.44,152,20216,133,0,5555,19481,9737,389,2171,Settlement,Negotiation,Client Meeting,11/19/2024,1,Client Meeting for Michael v. Brown,Unprofitable,High,Yes,No,No
TK5562,Bailey Vaughn,Paralegal,Active,London,Employment,Family Law,1403,1275,MT4601,Montgomery v. Robbins,Divorce,Closed,Sydney,Employment,Family Law,Trevor Page,Jonathan Barr,Karen Harvey,Jacqueline Richards,111916,414,CL4456,Sara Johnson,"159 Butler Ville Suite 750
Ryanfort, WA 37280",Active,Individual,INV-48157,3/4/2025,134,170850,125,159375,1784,169,93.28,32.37,137,174675,1275,32944,7098,15384,2782,4032,3604,Settlement,Research,Client Meeting,9/11/2024,8,Client Meeting for Montgomery v. Robbins,Profitable,High,Yes,No,Yes
TK6045,Rachael Diaz,Associate,Terminated,London,Employment,Criminal Defense,349,259,MT4131,Bradley v. Morgan,Criminal Case,Closed,London,Litigation,Commercial Litigation,Amanda Roy,William Padilla,Whitney Mathews,Brian Guerrero,121243,336,CL8118,Mcconnell-Yates,"376 Barr Brook
Alexandraborough, WY 32637",Inactive,Corporation,INV-85717,10/31/2024,22,5698,8,2072,987,917,36.36,6.55,25,6475,259,27963,201,14342,2520,2843,7469,Settlement,Negotiation,Research Case Law,3/31/2024,5,Research Case Law for Bradley v. Morgan,Profitable,Low,Yes,No,Yes
TK2847,Thomas Cook,Of Counsel,Active,Toronto,Tax,Intellectual Property,230,216,MT2649,Rodriguez v. Larsen,Litigation,Closed,California,Real Estate,M&A,Michael Kramer,David Ramsey,Kathleen Morrison,Maria Walters,100265,241,CL1419,Holmes Ltd,"24679 Baldwin Squares Suite 908
Angelafort, DC 99425",Inactive,Corporation,INV-77341,12/15/2023,160,34560,146,31536,354,382,91.25,66.39,167,36072,216,49058,8866,16171,8472,4469,8301,Appeal,Deposition,Research Case Law,1/7/2025,8,Research Case Law for Rodriguez v. Larsen,Unprofitable,Low,No,Yes,Yes
TK9266,Sarah Thomas,Law Clerk,Active,New York,Corporate,Commercial Litigation,560,403,MT3037,Watson v. Best,M&A,Closed,Toronto,Corporate,Family Law,Patty Ashley,Patrick Velez,Theresa Peterson,Miss Nicole Young,140942,231,CL5408,Betty Johnson,"89504 Gregory Stream
Curtisburgh, KY 06082",Inactive,Corporation,INV-85802,10/21/2023,74,29822,65,26195,1471,467,87.84,32.03,81,32643,403,39482,8609,18306,3397,4955,4081,Settlement,Deposition,Client Meeting,10/13/2024,1,Client Meeting for Watson v. Best,Profitable,Low,No,No,No
TK1174,Erica Williams,Of Counsel,Terminated,London,Litigation,Criminal Defense,865,705,MT9977,King v. Quinn,Divorce,Closed,Toronto,Tax,M&A,Madeline Fowler,Deborah Price,John Montgomery,Mckenzie Smith,454595,330,CL1809,Ross Inc,"PSC 8139, Box 2218
APO AA 66012",Inactive,Nonprofit,INV-75572,10/12/2023,118,83190,104,73320,1902,133,88.14,35.76,124,87420,705,0,746,15281,6731,3850,2506,Discovery,Filing,Research Case Law,11/16/2024,10,Research Case Law for King v. Quinn,Profitable,Medium,No,No,Yes
TK8399,Jennifer Moreno DDS,Associate,Active,London,Tax,Commercial Litigation,607,505,MT1839,Fletcher v. Thomas,Litigation,Active,Toronto,Employment,M&A,Nathan Ballard,Paul Ward,Michelle Holt,Kelly Mayo,307217,450,CL5716,"Ross, Lindsey and Holloway","0150 Anthony Vista
Coleside, WV 11901",Active,Government,INV-96646,1/8/2024,156,78780,154,77770,829,480,98.72,34.67,160,80800,505,0,6843,8420,883,3505,1946,Trial,Negotiation,Research Case Law,4/3/2024,4,Research Case Law for Fletcher v. Thomas,Unprofitable,Medium,Yes,No,No
TK9377,Jason Miller,Associate,Active,California,Litigation,Family Law,1299,1241,MT0963,Williams v. Rosales,Patent Filing,Closed,New York,Employment,M&A,Jacqueline Alexander,Emily Cohen,Michele Taylor,Debra Ballard,428356,262,CL7347,"Garcia, Mahoney and Russell","USNV Smith
FPO AA 34602",Inactive,Individual,INV-19183,4/5/2023,77,95557,61,75701,459,217,79.22,29.39,86,106726,1241,0,6257,9563,8387,1052,5435,Document Review,Drafting,Court Appearance,4/10/2024,9,Court Appearance for Williams v. Rosales,Profitable,Medium,Yes,Yes,Yes
TK9871,Veronica Compton,Paralegal,Active,London,Corporate,Family Law,1372,1222,MT2146,Velez v. Martin,Criminal Case,Active,Sydney,Corporate,Criminal Defense,Gregory Lane,David Oconnor,Nicole Doyle,Anthony Robinson,219032,489,CL3207,Norton-Thomas,"214 Alexis Square Apt. 540
North Brandi, AZ 66808",Active,Individual,INV-91541,9/10/2023,89,108758,87,106314,1030,631,97.75,18.2,106,129532,1222,0,3622,522,5928,4399,7299,Trial,Deposition,Client Meeting,12/27/2024,2,Client Meeting for Velez v. Martin,Profitable,Low,Yes,No,Yes
TK1876,Amanda Villanueva,Associate,Active,London,Litigation,Criminal Defense,892,855,MT5130,Nguyen v. Garrison,Litigation,Active,Toronto,Employment,M&A,Michelle Johnson,Daniel Wood,Andrew Snyder,Allen Petersen,466223,143,CL9607,Daniels PLC,"735 Harris Locks
South Kimstad, TX 83653",Inactive,Government,INV-09428,11/19/2023,122,104310,119,101745,1024,795,97.54,85.31,129,110295,855,18439,404,10405,1559,2066,7702,Appeal,Research,Client Meeting,4/19/2024,10,Client Meeting for Nguyen v. Garrison,Profitable,Low,Yes,Yes,Yes
TK3925,Jacob Edwards,Of Counsel,Terminated,New York,Real Estate,M&A,951,808,MT7398,Ruiz v. Lewis,Litigation,Active,London,Employment,Commercial Litigation,Christine Reed,Amy Sims,Carla Meadows,Kaitlyn Gilmore,349999,374,CL8338,"Daniel, Smith and Bright","47034 Alexander Lane Suite 730
North Kenneth, FM 17985",Active,Nonprofit,INV-83671,12/17/2023,134,108272,130,105040,757,347,97.01,35.83,144,116352,808,0,4507,1272,9122,2325,7820,Settlement,Research,Research Case Law,5/15/2024,4,Research Case Law for Ruiz v. Lewis,Unprofitable,Medium,Yes,Yes,Yes
