Timekeeper ID,Timekeeper Name,Timekeeper Role,Standard Rate,Work Rate,Matter ID,Matter Name,Matter Type,Client ID,Client Name,Invoice Date,Billed Hours,Billed Amount,Collected Hours,Collected Amount,Write Off Amount,Discount Amount,Realization Rate,Utilization Rate,Worked Hours,Worked Amount,Effective Rate,Time Entry Date,Time Entry Hours,Time Entry Description,Underbilling Flag,Discount Flag
TK5670,Brittany Cruz,Partner,721,567,MT3958,Webb v. Wagner,Divorce,CL0670,Katrina Lane,12/2/2024,115,65205,114,64638,1660,450,99.13,64.61,120,68040,567,9/19/2024,9,Research Case Law for Webb v. Wagner,Yes,No
TK6943,Lindsay Baker,Law Clerk,239,179,MT6307,Fuentes v. Hill,M&A,CL3432,Osborne-Davis,4/5/2023,59,10561,39,6981,352,749,66.1,12.22,79,14141,179,10/29/2024,8,Client Meeting for Fuentes v. Hill,No,Yes
TK2806,Richard Hampton,Paralegal,630,499,MT3533,Walker v. Roberts,Patent Filing,CL4711,Cain Group,7/28/2023,172,85828,169,84331,383,696,98.26,170.3,187,93313,499,3/13/2025,1,Court Appearance for Walker v. Roberts,Yes,Yes
TK7455,Sheila Cochran,Of Counsel,547,407,MT7769,Warren v. Washington,Patent Filing,CL6473,Joseph Boyle,6/10/2024,132,53724,116,47212,1800,423,87.88,29.86,144,58608,407,9/26/2024,8,Draft Motion for Warren v. Washington,No,No
TK8624,Evan Price,Paralegal,912,732,MT3537,Martinez v. Frank,Patent Filing,CL6475,Jones PLC,5/12/2023,142,103944,142,103944,1599,154,100,142,154,112728,732,7/13/2024,2,Draft Motion for Martinez v. Frank,Yes,No
TK0149,James Morrison,Law Clerk,857,741,MT5260,Sanchez v. Livingston,Criminal Case,CL9630,Turner LLC,3/16/2024,137,101517,129,95589,1794,615,94.16,29.65,152,112632,741,11/7/2024,8,Research Case Law for Sanchez v. Livingston,Yes,Yes
TK3485,Tammy Mueller,Associate,655,632,MT7515,Harris v. White,Patent Filing,CL6278,Rebecca Mclaughlin,5/10/2023,146,92272,146,92272,1266,406,100,38.12,148,93536,632,12/20/2024,7,Research Case Law for Harris v. White,No,No
TK6766,Colton Sparks,Of Counsel,1245,1161,MT0756,Klein v. Mcbride,Divorce,CL7233,"Austin, Williams and Walsh",10/10/2023,145,168345,145,168345,988,203,100,52.54,145,168345,1161,4/2/2024,1,Document Review for Klein v. Mcbride,No,No
TK0638,Victoria Rich,Associate,985,795,MT3870,Johnson v. Rich,Litigation,CL2702,Arnold-Santana,10/26/2024,161,127995,150,119250,1901,141,93.17,61.45,180,143100,795,8/15/2024,4,Court Appearance for Johnson v. Rich,No,No
TK6174,Paige Henry,Associate,296,273,MT1918,Schmitt v. Robinson,Patent Filing,CL0040,Robert Wong,8/6/2024,137,37401,122,33306,559,276,89.05,101.48,144,39312,273,7/11/2024,1,Court Appearance for Schmitt v. Robinson,No,Yes
TK0485,Mark Stewart,Of Counsel,1424,1304,MT8753,Garrett v. English,Litigation,CL2926,Russell Erickson,12/14/2023,25,32600,15,19560,372,198,60,7.86,36,46944,1304,6/23/2024,2,Court Appearance for Garrett v. English,No,No
TK8412,Anthony Kemp,Associate,427,329,MT5123,Rivera v. Phillips,Patent Filing,CL9840,Church PLC,1/10/2024,198,65142,193,63497,158,771,97.47,53.51,216,71064,329,1/8/2025,9,Client Meeting for Rivera v. Phillips,Yes,No
TK7964,Stephen Cruz,Paralegal,492,296,MT7496,Barton v. Collins,Criminal Case,CL6546,Drake-Scott,12/24/2024,79,23384,66,19536,1302,523,83.54,27.15,99,29304,296,11/24/2024,8,Court Appearance for Barton v. Collins,Yes,No
TK6158,John Pitts,Law Clerk,1288,1149,MT1445,Sherman v. Daniels,Divorce,CL8432,Holt PLC,11/24/2024,198,227502,185,212565,778,568,93.43,54.4,199,228651,1149,10/1/2024,4,Client Meeting for Sherman v. Daniels,No,No
TK7678,Joshua Ingram,Paralegal,195,47,MT6020,Sanders v. Hopkins,Divorce,CL1654,"Clark, George and Moore",1/19/2025,40,1880,38,1786,1019,656,95,11.27,52,2444,47,10/11/2024,7,Draft Motion for Sanders v. Hopkins,Yes,Yes
TK9415,Ernest Carter,Partner,346,194,MT1291,Drake v. Price,Divorce,CL0150,"Jensen, Cunningham and Rich",10/27/2024,24,4656,4,776,1009,511,16.67,11.88,25,4850,194,10/29/2024,6,Client Meeting for Drake v. Price,Yes,Yes
TK2929,Lindsey Braun,Law Clerk,702,650,MT4013,Morgan v. Lawson,M&A,CL5390,Mendoza LLC,5/6/2024,157,102050,149,96850,1227,501,94.9,34.66,160,104000,650,4/19/2024,5,Document Review for Morgan v. Lawson,No,Yes
TK0774,Mark Odom,Law Clerk,787,787,MT2798,Martinez v. Braun,Divorce,CL7403,Harris LLC,1/22/2025,31,24397,31,24397,886,648,100,9.23,35,27545,787,5/23/2024,8,Document Review for Martinez v. Braun,Yes,Yes
TK0464,Monica Smith,Associate,466,340,MT3016,Peterson v. Cohen,Patent Filing,CL7406,Melissa Alexander,4/16/2023,168,57120,155,52700,8,607,92.26,59.15,177,60180,340,6/26/2024,8,Court Appearance for Peterson v. Cohen,No,No
TK6988,Michelle Lee,Partner,500,441,MT4951,Hicks v. Santos,Litigation,CL5580,Brown LLC,12/24/2024,85,37485,69,30429,824,315,81.18,70.25,92,40572,441,4/3/2024,10,Document Review for Hicks v. Santos,No,No
TK4812,Desiree Ford,Paralegal,1261,1185,MT8307,Howard v. Mendoza,M&A,CL4340,Lauren Smith MD,5/12/2023,192,227520,173,205005,616,405,90.1,62.34,204,241740,1185,1/13/2025,6,Document Review for Howard v. Mendoza,No,No
TK4341,Kathryn Reyes,Of Counsel,461,364,MT3011,Crawford v. Chandler,Litigation,CL6532,Saunders-Deleon,8/27/2024,46,16744,27,9828,1813,803,58.7,18.04,57,20748,364,7/31/2024,4,Research Case Law for Crawford v. Chandler,Yes,No
TK9059,Benjamin Beck,Partner,282,279,MT3930,Holden v. Koch,Litigation,CL6275,Kimberly Brooks,2/5/2024,103,28737,89,24831,132,836,86.41,95.37,110,30690,279,10/11/2024,2,Draft Motion for Holden v. Koch,Yes,Yes
TK1928,Desiree Warren,Paralegal,492,481,MT5285,Jones v. Olson,Criminal Case,CL6488,"Martin, Dougherty and Booth",5/7/2024,152,73112,145,69745,1702,669,95.39,138.18,162,77922,481,8/9/2024,7,Draft Motion for Jones v. Olson,No,No
TK2667,James Perez,Law Clerk,1252,1166,MT9220,Cole v. Villa,Divorce,CL2920,Jenna Johnson,1/2/2025,22,25652,12,13992,102,195,54.55,9.02,29,33814,1166,12/13/2024,10,Client Meeting for Cole v. Villa,No,Yes
TK7888,Benjamin Garcia,Of Counsel,167,102,MT1574,Bush v. Miller,M&A,CL1680,Martin-Burch,8/4/2023,140,14280,133,13566,1645,696,95,40.46,142,14484,102,9/6/2024,1,Document Review for Bush v. Miller,No,No
TK8635,Megan Stevens,Partner,353,293,MT9252,Farrell v. Williams,M&A,CL4676,"Clark, Buchanan and Ortiz",9/10/2023,54,15822,43,12599,549,770,79.63,11.44,61,17873,293,1/21/2025,9,Document Review for Farrell v. Williams,Yes,No
TK6281,Antonio Cummings,Of Counsel,961,879,MT8050,Lin v. Durham,M&A,CL9640,Jeffrey Mitchell,3/9/2025,78,68562,74,65046,1721,342,94.87,37.14,93,81747,879,10/4/2024,9,Document Review for Lin v. Durham,Yes,Yes
TK1678,Robert Cline,Partner,275,174,MT5257,Chung v. Hansen,Patent Filing,CL5723,"Barnes, Hamilton and Reed",7/4/2024,104,18096,95,16530,1383,304,91.35,34.78,119,20706,174,2/24/2025,6,Research Case Law for Chung v. Hansen,Yes,Yes
TK5291,Margaret Vasquez,Law Clerk,990,950,MT0829,Johnson v. Austin,Divorce,CL3741,Rice LLC,3/6/2024,100,95000,89,84550,1945,930,89,23.64,113,107350,950,12/22/2024,5,Court Appearance for Johnson v. Austin,Yes,No
TK9775,Oscar Smith,Of Counsel,1374,1274,MT9049,Diaz v. Garcia,Patent Filing,CL4614,Gomez-Rodriguez,12/3/2023,77,98098,60,76440,1047,697,77.92,32.08,88,112112,1274,2/1/2025,5,Court Appearance for Diaz v. Garcia,No,No
TK7432,Douglas Flores,Paralegal,571,480,MT8594,Dunn v. Jones,M&A,CL4210,Robert Brandt,1/24/2024,57,27360,51,24480,1595,376,89.47,13.07,74,35520,480,7/23/2024,10,Client Meeting for Dunn v. Jones,Yes,No
TK3511,Cynthia Mclean,Of Counsel,926,861,MT2955,Jones v. West,Litigation,CL5185,Coleman Group,9/16/2024,161,138621,143,123123,478,400,88.82,135.29,162,139482,861,10/2/2024,6,Client Meeting for Jones v. West,Yes,Yes
TK7079,Allen Ruiz,Paralegal,884,693,MT4958,Berg v. Stewart,Litigation,CL4060,"Pineda, Vaughn and Macias",6/3/2024,111,76923,104,72072,1075,834,93.69,39.64,126,87318,693,3/21/2024,6,Draft Motion for Berg v. Stewart,Yes,No
TK3411,Cheyenne Herrera,Paralegal,1373,1291,MT4931,Henderson v. Harris,Litigation,CL3814,"Moore, Brewer and Anderson",6/16/2023,33,42603,19,24529,187,630,57.58,17.19,37,47767,1291,3/25/2024,8,Document Review for Henderson v. Harris,Yes,No
TK5128,Scott Allen Jr.,Partner,598,523,MT3022,Gomez v. Moore,M&A,CL7875,"Campbell, Gutierrez and Robinson",11/9/2024,80,41840,68,35564,1439,967,85,39.22,91,47593,523,3/10/2025,2,Document Review for Gomez v. Moore,No,No
TK4200,Keith Sullivan,Paralegal,856,800,MT9456,Johnson v. Houston,Patent Filing,CL0683,"Wise, Roberson and Shannon",2/26/2024,21,16800,21,16800,590,61,100,14.48,30,24000,800,3/17/2025,5,Client Meeting for Johnson v. Houston,No,No
TK7620,Jennifer Ramos,Partner,1361,1338,MT9152,Mitchell v. Welch,Criminal Case,CL6956,Brian Wilson,1/23/2024,133,177954,121,161898,569,607,90.98,36.54,140,187320,1338,12/25/2024,1,Draft Motion for Mitchell v. Welch,No,Yes
TK4672,Justin Lopez,Law Clerk,546,501,MT1399,Nunez v. Jones,Litigation,CL1138,Fox-Schneider,10/30/2023,180,90180,175,87675,1419,531,97.22,37.42,183,91683,501,1/18/2025,8,Draft Motion for Nunez v. Jones,Yes,Yes
TK4054,James Brown,Paralegal,899,740,MT7832,Rivera v. Schroeder,Patent Filing,CL1700,Malone-Guerra,10/10/2023,132,97680,129,95460,234,513,97.73,29.46,141,104340,740,11/5/2024,4,Document Review for Rivera v. Schroeder,No,No
TK2959,Cheryl Allison,Partner,363,180,MT4345,Mcconnell v. Lee,Criminal Case,CL3232,Kristi Floyd,9/2/2023,168,30240,155,27900,1504,993,92.26,47.32,171,30780,180,6/27/2024,10,Research Case Law for Mcconnell v. Lee,Yes,Yes
TK6287,Karen Webster,Paralegal,1042,1005,MT0722,Smith v. Turner,Patent Filing,CL6012,"Moore, Dunn and Stanley",5/6/2024,121,121605,121,121605,1349,804,100,43.06,121,121605,1005,6/17/2024,10,Document Review for Smith v. Turner,No,No
TK9559,Pamela Miles,Paralegal,953,914,MT7380,Smith v. Smith,Litigation,CL8893,Alexis Lopez,5/31/2023,107,97798,104,95056,1242,727,97.2,24.71,119,108766,914,7/18/2024,7,Document Review for Smith v. Smith,No,No
TK3896,Timothy Gonzales,Paralegal,1418,1221,MT7127,Williams v. Dyer,Criminal Case,CL0846,Maldonado-Nelson,10/6/2024,122,148962,110,134310,815,668,90.16,57.01,142,173382,1221,1/16/2025,8,Draft Motion for Williams v. Dyer,No,Yes
TK3174,Terry David,Associate,1432,1241,MT0595,Harris v. Peters,Patent Filing,CL8084,Johnson Inc,11/27/2023,72,89352,58,71978,773,691,80.56,37.31,80,99280,1241,2/5/2025,7,Draft Motion for Harris v. Peters,No,No
TK5443,Melissa Castro,Paralegal,680,677,MT0321,Donaldson v. Holland,M&A,CL0982,Miller PLC,12/18/2024,127,85979,112,75824,1564,463,88.19,28.6,130,88010,677,1/27/2025,7,Draft Motion for Donaldson v. Holland,Yes,Yes
TK0183,Aaron Armstrong,Partner,697,602,MT8781,Guerrero v. Fuentes,Divorce,CL1277,Lewis PLC,5/24/2024,173,104146,171,102942,1182,984,98.84,53.89,176,105952,602,7/2/2024,5,Draft Motion for Guerrero v. Fuentes,No,Yes
TK3722,Antonio Turner,Paralegal,1398,1262,MT7458,Newman v. Owens,Litigation,CL2558,Carol Douglas,8/16/2024,28,35336,16,20192,1731,629,57.14,20.9,31,39122,1262,8/7/2024,5,Court Appearance for Newman v. Owens,Yes,Yes
TK3570,William Moore,Associate,1366,1175,MT6439,Scott v. Martinez,Litigation,CL3773,"Williams, Holmes and Fisher",5/28/2023,150,176250,141,165675,1753,873,94,39.58,169,198575,1175,3/6/2025,5,Research Case Law for Scott v. Martinez,No,Yes
TK4796,Anna Holmes,Partner,1172,989,MT9189,Hoover v. Olson,Criminal Case,CL8844,"Williams, Hill and Figueroa",10/6/2024,181,179009,174,172086,841,355,96.13,53.08,182,179998,989,9/14/2024,3,Research Case Law for Hoover v. Olson,Yes,No
TK3813,Paul Russell,Of Counsel,1049,1032,MT8747,Bailey v. White,Divorce,CL2132,Austin LLC,11/16/2023,109,112488,93,95976,91,976,85.32,26.59,119,122808,1032,3/27/2024,3,Court Appearance for Bailey v. White,Yes,No
TK1374,Lori Martinez,Of Counsel,903,877,MT2350,Perry v. Jackson,Litigation,CL5202,"Crawford, Cervantes and Joyce",9/3/2023,60,52620,59,51743,1867,186,98.33,31.41,75,65775,877,1/1/2025,8,Court Appearance for Perry v. Jackson,No,Yes
TK3200,Brittany Carter,Of Counsel,347,264,MT0705,Romero v. Hawkins,Patent Filing,CL0414,Monique Schultz,12/11/2023,75,19800,63,16632,1908,399,84,17.01,94,24816,264,5/19/2024,5,Draft Motion for Romero v. Hawkins,No,Yes
TK3471,Bradley Morgan,Partner,842,680,MT5897,Roth v. Vega,Litigation,CL8721,Jennifer Williams,7/16/2023,146,99280,135,91800,419,501,92.47,118.7,150,102000,680,5/10/2024,2,Research Case Law for Roth v. Vega,Yes,No
TK7307,Destiny Whitaker,Of Counsel,471,298,MT4917,Li v. Powell,Litigation,CL7611,Bowen Inc,2/17/2025,125,37250,110,32780,1128,65,88,67.2,135,40230,298,12/30/2024,4,Document Review for Li v. Powell,No,No
TK6172,Harold Richards,Partner,615,594,MT2152,Savage v. Martin,Litigation,CL2808,Jasmine Lewis,4/4/2023,111,65934,101,59994,1374,362,90.99,29.44,123,73062,594,3/30/2024,2,Research Case Law for Savage v. Martin,Yes,Yes
TK7552,Mark Russell,Paralegal,243,196,MT3693,Johnson v. Gonzalez,M&A,CL7687,"Tate, Torres and Gonzalez",8/5/2024,153,29988,152,29792,1776,17,99.35,45.67,157,30772,196,4/12/2024,4,Draft Motion for Johnson v. Gonzalez,Yes,No
TK7277,Brenda Kelley,Law Clerk,1335,1335,MT9369,Anderson v. Thompson,Patent Filing,CL7593,Gutierrez-Anderson,3/1/2025,82,109470,64,85440,152,428,78.05,45.81,87,116145,1335,12/9/2024,3,Draft Motion for Anderson v. Thompson,No,Yes
TK7444,Brittany Rogers,Paralegal,1305,1231,MT3051,Hunter v. Stevens,M&A,CL2227,Jason Baker,6/15/2024,160,196960,153,188343,55,881,95.62,38.46,169,208039,1231,5/11/2024,8,Court Appearance for Hunter v. Stevens,Yes,No
TK3145,Jorge Hughes,Of Counsel,878,869,MT3922,Powell v. Walters,Criminal Case,CL2031,Alicia Johnson,2/19/2024,69,59961,53,46057,1033,646,76.81,33.82,89,77341,869,1/2/2025,4,Document Review for Powell v. Walters,No,No
TK1667,Benjamin Bailey,Partner,797,789,MT4801,Hoover v. Fitzpatrick,Criminal Case,CL1725,"Drake, Bates and Bowers",7/10/2024,101,79689,97,76533,1203,308,96.04,20.36,115,90735,789,8/31/2024,9,Draft Motion for Hoover v. Fitzpatrick,Yes,Yes
TK5871,Laura Hoffman,Partner,1427,1295,MT5605,Mckinney v. Lambert,Litigation,CL6272,Aaron Johnson,11/30/2023,140,181300,134,173530,782,704,95.71,34.31,146,189070,1295,5/10/2024,2,Client Meeting for Mckinney v. Lambert,No,No
TK4490,Amanda Smith,Law Clerk,557,447,MT4874,Hicks v. Brown,Patent Filing,CL3723,Grace King,5/30/2024,127,56769,124,55428,699,189,97.64,27.85,135,60345,447,4/11/2024,7,Court Appearance for Hicks v. Brown,Yes,No
TK3584,Ashley Turner,Of Counsel,1465,1295,MT9771,Carlson v. Carrillo,Litigation,CL4637,Esparza-Coleman,4/6/2024,22,28490,8,10360,541,77,36.36,5.1,27,34965,1295,11/14/2024,6,Document Review for Carlson v. Carrillo,No,No
TK7336,Amber Doyle,Law Clerk,1434,1314,MT7508,White v. Arnold,Litigation,CL0834,Devin Hill,6/21/2024,182,239148,181,237834,427,409,99.45,75.52,189,248346,1314,4/26/2024,8,Client Meeting for White v. Arnold,Yes,No
TK7090,Alicia Griffin,Law Clerk,799,694,MT9855,Payne v. Weber,Divorce,CL1572,Garcia-Steele,11/3/2024,148,102712,131,90914,497,679,88.51,36.01,158,109652,694,6/5/2024,10,Document Review for Payne v. Weber,No,No
TK6279,Ann Winters,Paralegal,375,351,MT9959,Pratt v. Kelly,Divorce,CL8242,Phelps Group,12/24/2024,137,48087,122,42822,1796,62,89.05,37.03,152,53352,351,7/20/2024,4,Court Appearance for Pratt v. Kelly,No,No
TK8820,Tiffany Stuart,Law Clerk,1038,992,MT1933,Smith v. Thomas,Patent Filing,CL2424,"Zimmerman, Jones and Cardenas",1/22/2025,107,106144,97,96224,1941,836,90.65,27.44,116,115072,992,2/23/2025,5,Draft Motion for Smith v. Thomas,No,No
TK5466,Erin Johnson,Law Clerk,185,152,MT4784,Evans v. Pace,Divorce,CL7382,Hawkins-Daniels,1/18/2025,110,16720,98,14896,1677,254,89.09,23.55,127,19304,152,8/15/2024,7,Court Appearance for Evans v. Pace,No,Yes
TK2908,Casey Davis,Associate,1329,1139,MT6826,Lewis v. Weaver,M&A,CL1619,Savannah George,9/16/2023,49,55811,46,52394,1834,710,93.88,13.76,61,69479,1139,4/11/2024,2,Court Appearance for Lewis v. Weaver,No,Yes
TK3563,Robin Pham,Law Clerk,350,203,MT3694,Dennis v. Allen,Divorce,CL1552,Carlos Cook,2/28/2025,161,32683,145,29435,1399,339,90.06,51.94,170,34510,203,4/6/2024,2,Client Meeting for Dennis v. Allen,No,Yes
TK3410,Roger Davis,Of Counsel,1026,994,MT5006,Brown v. Herrera,Patent Filing,CL6560,"Shaw, Lewis and Blair",11/19/2024,170,168980,160,159040,1995,961,94.12,38.55,184,182896,994,6/18/2024,4,Document Review for Brown v. Herrera,No,No
TK1054,Joshua Love,Partner,555,499,MT9657,Houston v. Ferguson,Divorce,CL9165,Alexandra Gibson,7/3/2024,77,38423,60,29940,702,508,77.92,18.73,86,42914,499,4/22/2024,7,Document Review for Houston v. Ferguson,No,Yes
TK3613,Natalie Butler,Of Counsel,493,383,MT0058,Flynn v. Parker,M&A,CL5535,"Levine, Rose and Macdonald",12/29/2023,38,14554,31,11873,1579,474,81.58,8.82,46,17618,383,12/24/2024,7,Research Case Law for Flynn v. Parker,Yes,Yes
TK1669,Jay Castro,Partner,910,825,MT1182,Johnson v. Diaz,Litigation,CL5182,Kevin Franco,7/20/2024,26,21450,19,15675,1558,813,73.08,6.28,36,29700,825,12/17/2024,2,Client Meeting for Johnson v. Diaz,No,No
TK8201,Joel Thomas,Law Clerk,716,661,MT9094,Johnston v. Lyons,Criminal Case,CL9202,Sanders-Coleman,6/15/2023,195,128895,189,124929,1422,604,96.92,39.8,197,130217,661,6/29/2024,9,Client Meeting for Johnston v. Lyons,Yes,Yes
TK4253,Ashley Gibson,Law Clerk,1355,1255,MT4975,Kerr v. Miranda,Criminal Case,CL3866,Barnett-Brown,12/22/2023,32,40160,28,35140,1708,502,87.5,9.07,52,65260,1255,8/18/2024,8,Client Meeting for Kerr v. Miranda,Yes,No
TK1555,James Anderson,Of Counsel,480,354,MT0433,Park v. Rose,Criminal Case,CL2797,Anthony Stewart,6/12/2023,33,11682,20,7080,1543,570,60.61,10.03,47,16638,354,5/9/2024,1,Document Review for Park v. Rose,No,No
TK6263,Johnathan Petty,Of Counsel,1072,918,MT0193,Dean v. Wilson,Criminal Case,CL9052,Horne and Sons,1/6/2025,167,153306,154,141372,589,51,92.22,54.75,181,166158,918,12/14/2024,7,Court Appearance for Dean v. Wilson,Yes,Yes
TK7505,Karen Peters,Law Clerk,373,299,MT2781,Duarte v. Richards,Divorce,CL6149,Ashley-Holmes,5/27/2024,183,54717,165,49335,1430,808,90.16,39.87,193,57707,299,3/15/2025,10,Document Review for Duarte v. Richards,Yes,Yes
TK8151,Erin Rice,Associate,172,67,MT0892,Huang v. Russell,Patent Filing,CL7739,Scott Ochoa,5/16/2024,155,10385,138,9246,922,490,89.03,47.11,159,10653,67,6/22/2024,9,Research Case Law for Huang v. Russell,Yes,No
TK8957,Tiffany Martinez,Partner,656,486,MT8705,Martinez v. Smith,Criminal Case,CL1086,"Meadows, Wong and Mullins",12/11/2023,128,62208,122,59292,571,921,95.31,27.71,129,62694,486,8/28/2024,7,Client Meeting for Martinez v. Smith,No,No
TK1362,Benjamin Parks,Paralegal,1104,1000,MT9119,Collins v. Duarte,Patent Filing,CL8926,Montgomery-Jones,3/13/2024,133,133000,120,120000,1239,532,90.23,28,137,137000,1000,5/2/2024,7,Court Appearance for Collins v. Duarte,No,Yes
TK8873,Luke Marquez,Of Counsel,814,754,MT4040,Mcdaniel v. Santana,Patent Filing,CL9500,Carter-Cook,10/17/2023,136,102544,116,87464,649,415,85.29,49.28,144,108576,754,7/3/2024,2,Draft Motion for Mcdaniel v. Santana,Yes,No
TK2503,Monica Jones,Partner,818,794,MT7665,Johnson v. Burch,Litigation,CL2009,Jessica Flores,7/10/2024,91,72254,77,61138,346,156,84.62,77.78,97,77018,794,12/15/2024,9,Draft Motion for Johnson v. Burch,Yes,Yes
TK0955,James Smith,Paralegal,878,751,MT5974,Wilson v. Hall,M&A,CL7377,Jason Ho,6/16/2023,136,102136,121,90871,34,6,88.97,55.06,156,117156,751,9/7/2024,9,Draft Motion for Wilson v. Hall,No,No
TK2426,Nathaniel Stewart,Associate,657,523,MT5166,Scott v. Shannon,Patent Filing,CL7308,"Anderson, Sosa and Johnson",11/21/2024,155,81065,147,76881,418,477,94.84,75.61,166,86818,523,9/12/2024,6,Draft Motion for Scott v. Shannon,Yes,Yes
TK4813,Bobby Hill,Paralegal,1283,1282,MT4300,Brown v. Sellers,Patent Filing,CL9556,Scott Inc,1/3/2025,102,130764,92,117944,1992,975,90.2,24.29,102,130764,1282,8/31/2024,7,Document Review for Brown v. Sellers,No,No
TK2562,Melissa Guerrero,Law Clerk,520,361,MT5768,Brooks v. Gonzalez,Divorce,CL9941,Sean Cruz,5/12/2023,134,48374,117,42237,972,259,87.31,43.93,137,49457,361,9/18/2024,2,Client Meeting for Brooks v. Gonzalez,No,Yes
TK4128,Oscar Pierce,Partner,586,459,MT7246,Mahoney v. Smith,Criminal Case,CL7591,Johnson LLC,2/14/2024,110,50490,104,47736,45,217,94.55,31.79,114,52326,459,7/24/2024,5,Court Appearance for Mahoney v. Smith,Yes,No
TK4173,Jack Reeves,Of Counsel,1075,921,MT8463,Murphy v. Fuller,Patent Filing,CL9106,Williams-Cantu,7/16/2023,41,37761,34,31314,836,489,82.93,12.02,46,42366,921,6/17/2024,8,Research Case Law for Murphy v. Fuller,No,No
TK8760,Scott Matthews,Law Clerk,674,486,MT6087,Houston v. Choi,Litigation,CL3752,Maldonado LLC,9/30/2023,167,81162,153,74358,419,79,91.62,33.74,176,85536,486,5/24/2024,6,Document Review for Houston v. Choi,Yes,No
TK5330,Michael Mendez,Of Counsel,1125,1098,MT5056,Morgan v. Mathis,Divorce,CL7464,Kayla Phillips,6/21/2023,122,133956,102,111996,497,106,83.61,35.78,132,144936,1098,4/14/2024,1,Client Meeting for Morgan v. Mathis,No,Yes
TK6967,Peter Moore,Partner,246,133,MT5780,Michael v. Brown,Litigation,CL8166,Amy Brown,8/20/2023,145,19285,130,17290,1410,924,89.66,61.44,152,20216,133,11/19/2024,1,Client Meeting for Michael v. Brown,Yes,No
TK5562,Bailey Vaughn,Paralegal,1403,1275,MT4601,Montgomery v. Robbins,Divorce,CL4456,Sara Johnson,3/4/2025,134,170850,125,159375,1784,169,93.28,32.37,137,174675,1275,9/11/2024,8,Client Meeting for Montgomery v. Robbins,Yes,Yes
TK6045,Rachael Diaz,Associate,349,259,MT4131,Bradley v. Morgan,Criminal Case,CL8118,Mcconnell-Yates,10/31/2024,22,5698,8,2072,987,917,36.36,6.55,25,6475,259,3/31/2024,5,Research Case Law for Bradley v. Morgan,Yes,Yes
TK2847,Thomas Cook,Of Counsel,230,216,MT2649,Rodriguez v. Larsen,Litigation,CL1419,Holmes Ltd,12/15/2023,160,34560,146,31536,354,382,91.25,66.39,167,36072,216,1/7/2025,8,Research Case Law for Rodriguez v. Larsen,No,Yes
TK9266,Sarah Thomas,Law Clerk,560,403,MT3037,Watson v. Best,M&A,CL5408,Betty Johnson,10/21/2023,74,29822,65,26195,1471,467,87.84,32.03,81,32643,403,10/13/2024,1,Client Meeting for Watson v. Best,No,No
TK1174,Erica Williams,Of Counsel,865,705,MT9977,King v. Quinn,Divorce,CL1809,Ross Inc,10/12/2023,118,83190,104,73320,1902,133,88.14,35.76,124,87420,705,11/16/2024,10,Research Case Law for King v. Quinn,No,Yes
TK8399,Jennifer Moreno DDS,Associate,607,505,MT1839,Fletcher v. Thomas,Litigation,CL5716,"Ross, Lindsey and Holloway",1/8/2024,156,78780,154,77770,829,480,98.72,34.67,160,80800,505,4/3/2024,4,Research Case Law for Fletcher v. Thomas,Yes,No
TK9377,Jason Miller,Associate,1299,1241,MT0963,Williams v. Rosales,Patent Filing,CL7347,"Garcia, Mahoney and Russell",4/5/2023,77,95557,61,75701,459,217,79.22,29.39,86,106726,1241,4/10/2024,9,Court Appearance for Williams v. Rosales,Yes,Yes
TK9871,Veronica Compton,Paralegal,1372,1222,MT2146,Velez v. Martin,Criminal Case,CL3207,Norton-Thomas,9/10/2023,89,108758,87,106314,1030,631,97.75,18.2,106,129532,1222,12/27/2024,2,Client Meeting for Velez v. Martin,Yes,Yes
TK1876,Amanda Villanueva,Associate,892,855,MT5130,Nguyen v. Garrison,Litigation,CL9607,Daniels PLC,11/19/2023,122,104310,119,101745,1024,795,97.54,85.31,129,110295,855,4/19/2024,10,Client Meeting for Nguyen v. Garrison,Yes,Yes
TK3925,Jacob Edwards,Of Counsel,951,808,MT7398,Ruiz v. Lewis,Litigation,CL8338,"Daniel, Smith and Bright",12/17/2023,134,108272,130,105040,757,347,97.01,35.83,144,116352,808,5/15/2024,4,Research Case Law for Ruiz v. Lewis,Yes,Yes
TK6146,Cameron Brown,Of Counsel,1219,1168,MT5980,Gomez v. Hardy,Divorce,CL3980,Marilyn Rodriguez,1/12/2025,45,52560,41,47888,1577,744,91.11,35.43,48,56064,1168,4/10/2024,4,Court Appearance for Gomez v. Hardy,Yes,Yes
TK1165,Jimmy Dean,Partner,766,587,MT4239,Hanson v. Powell,Patent Filing,CL6699,Alexander Inc,4/6/2024,21,12327,8,4696,1484,226,38.1,13.55,27,15849,587,2/23/2025,7,Court Appearance for Hanson v. Powell,Yes,Yes
TK5118,Mary Irwin,Of Counsel,922,817,MT2891,Rosario v. Brown,M&A,CL9269,"Bell, Smith and Ross",8/19/2024,32,26144,18,14706,208,994,56.25,10.81,34,27778,817,5/1/2024,8,Draft Motion for Rosario v. Brown,No,No
